,secs,x1,x2,y1,y2
226,16.24,-2,302,26,322
227,16.28,-3,302,26,322
228,16.32,452,271,532,321
229,16.36,455,271,534,321
230,16.4,457,267,537,325
231,16.44,459,267,540,325
232,16.48,460,269,535,323
233,16.52,456,267,535,325
234,16.56,458,267,538,325
235,16.6,456,268,534,324
236,16.64,443,270,520,321
237,16.68,443,269,498,320
238,16.72,458,269,531,322
239,16.76,451,273,526,314
240,16.8,453,528,272,321
241,16.84,446,274,511,320
242,16.88,450,273,524,315
243,16.92,449,273,524,315
244,16.96,446,273,523,315
245,17.0,449,273,523,315
246,17.04,448,273,522,314
247,17.08,445,272,521,315
248,17.12,451,273,519,318
249,17.16,444,273,520,315
250,17.2,450,268,526,324
251,17.24,447,274,520,314
252,17.28,444,273,519,315
253,17.32,446,272,522,314
254,17.36,438,270,511,320
255,17.4,-4,296,26,317
256,17.44,-3,297,26,318
257,17.48,-3,297,26,318
258,17.52,441,275,503,319
259,17.56,436,272,510,321
260,17.6,448,274,520,321
261,17.64,447,273,519,320
262,17.68,447,273,519,320
263,17.72,448,273,519,319
264,17.76,447,272,518,319
265,17.8,443,271,518,319
266,17.84,441,272,516,319
267,17.88,443,272,517,319
268,17.92,443,272,517,319
269,17.96,439,276,501,319
270,18.0,454,517,272,319
271,18.04,449,270,517,320
272,18.08,453,272,516,319
273,18.12,453,271,516,318
274,18.16,449,270,517,320
275,18.2,452,271,519,320
276,18.24,453,271,516,318
277,18.28,449,270,521,322
278,18.32,450,270,519,320
279,18.36,446,269,519,322
280,18.4,449,271,520,322
281,18.44,450,271,518,320
282,18.48,444,274,513,313
283,18.52,-2,295,28,317
284,18.56,-4,295,27,317
285,18.6,443,274,514,314
286,18.64,440,274,512,314
287,18.68,443,275,512,313
288,18.72,440,274,511,314
289,18.76,442,275,511,313
290,18.8,442,274,511,312
291,18.84,439,274,510,314
292,18.88,441,274,513,314
293,18.92,441,274,510,312
294,18.96,439,274,509,313
295,19.0,447,270,514,318
296,19.04,447,270,514,318
297,19.08,447,270,513,317
298,19.12,447,269,513,317
299,19.16,-3,290,28,313
300,19.2,446,511,269,318
301,19.24,444,268,509,318
302,19.28,436,274,494,315
303,19.32,436,273,494,315
304,19.36,434,274,493,315
305,19.4,436,274,495,315
306,19.44,434,274,493,316
307,19.48,435,275,493,316
308,19.52,433,275,492,316
309,19.56,433,271,501,318
310,19.6,433,271,501,317
311,19.64,431,271,499,318
312,19.68,433,271,502,317
313,19.72,431,271,499,317
314,19.76,433,271,502,317
